# Temperature : 300
mfp,kcumu,kspec
1.688778e+01,2.724730e+00,0.000000e+00
1.736146e+01,2.743476e+00,1.874577e-02
1.784843e+01,2.743476e+00,0.000000e+00
1.834905e+01,2.743476e+00,0.000000e+00
1.886372e+01,2.783670e+00,4.019441e-02
1.939283e+01,2.799915e+00,1.624501e-02
1.993677e+01,2.816571e+00,1.665509e-02
2.049597e+01,2.816571e+00,0.000000e+00
2.107086e+01,2.816571e+00,0.000000e+00
2.166187e+01,2.816571e+00,0.000000e+00
2.226945e+01,2.816571e+00,0.000000e+00
2.289408e+01,2.816571e+00,0.000000e+00
2.353623e+01,2.816571e+00,0.000000e+00
2.419639e+01,2.816571e+00,0.000000e+00
2.487507e+01,2.816571e+00,0.000000e+00
2.557279e+01,2.816571e+00,0.000000e+00
2.629007e+01,2.816571e+00,0.000000e+00
2.702747e+01,2.826151e+00,9.580165e-03
2.778556e+01,2.871168e+00,4.501700e-02
2.856491e+01,2.871168e+00,0.000000e+00
2.936612e+01,2.881717e+00,1.054901e-02
3.018980e+01,2.881717e+00,0.000000e+00
3.103658e+01,2.881717e+00,0.000000e+00
3.190712e+01,2.881717e+00,0.000000e+00
3.280207e+01,2.924441e+00,4.272408e-02
3.372213e+01,2.924441e+00,0.000000e+00
3.466799e+01,2.958216e+00,3.377571e-02
3.564039e+01,2.958216e+00,0.000000e+00
3.664005e+01,2.958216e+00,0.000000e+00
3.766776e+01,2.958216e+00,0.000000e+00
3.872429e+01,2.958216e+00,0.000000e+00
3.981046e+01,2.958216e+00,0.000000e+00
4.092709e+01,2.958216e+00,0.000000e+00
4.207504e+01,2.958216e+00,0.000000e+00
4.325519e+01,2.958216e+00,0.000000e+00
4.446845e+01,2.958216e+00,0.000000e+00
4.571573e+01,2.958216e+00,0.000000e+00
4.699800e+01,2.958216e+00,0.000000e+00
4.831623e+01,2.958216e+00,0.000000e+00
4.967144e+01,2.958216e+00,0.000000e+00
5.106466e+01,2.958216e+00,0.000000e+00
5.249696e+01,2.958216e+00,0.000000e+00
5.396943e+01,2.958216e+00,0.000000e+00
5.548320e+01,2.958216e+00,0.000000e+00
5.703943e+01,2.958216e+00,0.000000e+00
5.863932e+01,2.958216e+00,0.000000e+00
6.028408e+01,2.958216e+00,0.000000e+00
6.197497e+01,3.076272e+00,1.180556e-01
6.371328e+01,3.076272e+00,0.000000e+00
6.550036e+01,3.076272e+00,0.000000e+00
6.733756e+01,3.076272e+00,0.000000e+00
6.922629e+01,3.076272e+00,0.000000e+00
7.116800e+01,3.076272e+00,0.000000e+00
7.316417e+01,3.076272e+00,0.000000e+00
7.521633e+01,3.076272e+00,0.000000e+00
7.732606e+01,3.076272e+00,0.000000e+00
7.949495e+01,3.076272e+00,0.000000e+00
8.172468e+01,3.111852e+00,3.557991e-02
8.401696e+01,3.111852e+00,0.000000e+00
8.637353e+01,3.111852e+00,0.000000e+00
8.879619e+01,3.111852e+00,0.000000e+00
9.128681e+01,3.111852e+00,0.000000e+00
9.384729e+01,3.111852e+00,0.000000e+00
9.647958e+01,3.111852e+00,0.000000e+00
9.918571e+01,3.155038e+00,4.318636e-02
1.019677e+02,3.155038e+00,0.000000e+00
1.048278e+02,3.155038e+00,0.000000e+00
1.077681e+02,3.155038e+00,0.000000e+00
1.107909e+02,3.155038e+00,0.000000e+00
1.138984e+02,3.155038e+00,0.000000e+00
1.170931e+02,3.155038e+00,0.000000e+00
1.203774e+02,3.155038e+00,0.000000e+00
1.237538e+02,3.155038e+00,0.000000e+00
1.272250e+02,3.155038e+00,0.000000e+00
1.307935e+02,3.155038e+00,0.000000e+00
1.344621e+02,3.155038e+00,0.000000e+00
1.382336e+02,3.155038e+00,0.000000e+00
1.421108e+02,3.155038e+00,0.000000e+00
1.460969e+02,3.155038e+00,0.000000e+00
1.501947e+02,3.155038e+00,0.000000e+00
1.544074e+02,3.155038e+00,0.000000e+00
1.587384e+02,3.155038e+00,0.000000e+00
1.631908e+02,3.374980e+00,2.199420e-01
1.677681e+02,3.374980e+00,0.000000e+00
1.724738e+02,3.554259e+00,1.792782e-01
