# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kave[W/mK],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK]
5.0000000e+01,5.1794747e+03,2.3920921e+01,2.3920884e+01,-1.7758981e-03,-1.4502901e-03,-1.7758981e-03,2.3920949e+01,-1.3974335e-03,-1.4502901e-03,-1.3974335e-03,2.3920932e+01
5.0000000e+01,6.3991523e+03,2.4631233e+01,2.4631195e+01,-1.7835428e-03,-1.4574951e-03,-1.7835428e-03,2.4631260e+01,-1.4043600e-03,-1.4574951e-03,-1.4043600e-03,2.4631243e+01
5.0000000e+01,7.9060432e+03,2.5296708e+01,2.5296671e+01,-1.7898015e-03,-1.4633969e-03,-1.7898015e-03,2.5296735e+01,-1.4100353e-03,-1.4633969e-03,-1.4100353e-03,2.5296718e+01
5.0000000e+01,9.7677811e+03,2.5912356e+01,2.5912318e+01,-1.7949148e-03,-1.4682206e-03,-1.7949148e-03,2.5912383e+01,-1.4146748e-03,-1.4682206e-03,-1.4146748e-03,2.5912366e+01
5.0000000e+01,1.2067926e+04,2.6474425e+01,2.6474387e+01,-1.7990850e-03,-1.4721559e-03,-1.7990850e-03,2.6474453e+01,-1.4184607e-03,-1.4721559e-03,-1.4184607e-03,2.6474435e+01
5.0000000e+01,1.4909717e+04,2.6980781e+01,2.6980743e+01,-1.8024812e-03,-1.4753618e-03,-1.8024812e-03,2.6980808e+01,-1.4215453e-03,-1.4753618e-03,-1.4215453e-03,2.6980791e+01
5.0000000e+01,1.8420700e+04,2.7431044e+01,2.7431006e+01,-1.8052439e-03,-1.4779702e-03,-1.8052439e-03,2.7431071e+01,-1.4240553e-03,-1.4779702e-03,-1.4240553e-03,2.7431054e+01
5.0000000e+01,2.2758459e+04,2.7826508e+01,2.7826470e+01,-1.8074892e-03,-1.4800905e-03,-1.8074892e-03,2.7826536e+01,-1.4260958e-03,-1.4800905e-03,-1.4260958e-03,2.7826518e+01
5.0000000e+01,2.8117687e+04,2.8169886e+01,2.8169848e+01,-1.8093125e-03,-1.4818125e-03,-1.8093125e-03,2.8169914e+01,-1.4277532e-03,-1.4818125e-03,-1.4277532e-03,2.8169896e+01
5.0000000e+01,3.4738921e+04,2.8464955e+01,2.8464917e+01,-1.8107923e-03,-1.4832103e-03,-1.8107923e-03,2.8464983e+01,-1.4290985e-03,-1.4832103e-03,-1.4290985e-03,2.8464965e+01
5.0000000e+01,4.2919343e+04,2.8716174e+01,2.8716136e+01,-1.8119926e-03,-1.4843442e-03,-1.8119926e-03,2.8716202e+01,-1.4301900e-03,-1.4843442e-03,-1.4301900e-03,2.8716184e+01
5.0000000e+01,5.3026113e+04,2.8928328e+01,2.8928290e+01,-1.8129659e-03,-1.4852636e-03,-1.8129659e-03,2.8928356e+01,-1.4310751e-03,-1.4852636e-03,-1.4310751e-03,2.8928338e+01
5.0000000e+01,6.5512856e+04,2.9106236e+01,2.9106198e+01,-1.8137548e-03,-1.4860090e-03,-1.8137548e-03,2.9106264e+01,-1.4317925e-03,-1.4860090e-03,-1.4317925e-03,2.9106246e+01
5.0000000e+01,8.0940012e+04,2.9254531e+01,2.9254493e+01,-1.8143940e-03,-1.4866129e-03,-1.8143940e-03,2.9254559e+01,-1.4323740e-03,-1.4866129e-03,-1.4323740e-03,2.9254541e+01
5.0000000e+01,1.0000000e+05,2.9377513e+01,2.9377475e+01,-1.8149119e-03,-1.4871023e-03,-1.8149119e-03,2.9377541e+01,-1.4328451e-03,-1.4871023e-03,-1.4328451e-03,2.9377523e+01
1.0000000e+02,3.1622777e+00,7.5132815e-01,7.5131860e-01,-1.7856339e-04,-1.2091040e-04,-1.7856339e-04,7.5127325e-01,-1.3361031e-04,-1.2091040e-04,-1.3361031e-04,7.5139260e-01
1.0000000e+02,3.9069399e+00,8.9919358e-01,8.9918231e-01,-2.1138343e-04,-1.4421162e-04,-2.1138343e-04,8.9913209e-01,-1.5811328e-04,-1.4421162e-04,-1.5811328e-04,8.9926634e-01
1.0000000e+02,4.8269574e+00,1.0708007e+00,1.0707875e+00,-2.4876186e-04,-1.7106217e-04,-2.4876186e-04,1.0707326e+00,-1.8601052e-04,-1.7106217e-04,-1.8601052e-04,1.0708821e+00
1.0000000e+02,5.9636233e+00,1.2681811e+00,1.2681656e+00,-2.9087475e-04,-2.0168870e-04,-2.9087475e-04,1.2681065e+00,-2.1743140e-04,-2.0168870e-04,-2.1743140e-04,1.2682712e+00
1.0000000e+02,7.3679546e+00,1.4930061e+00,1.4929881e+00,-3.3777528e-04,-2.3623786e-04,-3.3777528e-04,1.4929253e+00,-2.5241605e-04,-2.3623786e-04,-2.5241605e-04,1.4931050e+00
1.0000000e+02,9.1029818e+00,1.7464260e+00,1.7464051e+00,-3.8937113e-04,-2.7475310e-04,-3.8937113e-04,1.7463394e+00,-2.9090136e-04,-2.7475310e-04,-2.9090136e-04,1.7465336e+00
1.0000000e+02,1.1246578e+01,2.0289096e+00,2.0288854e+00,-4.4541060e-04,-3.1715592e-04,-4.4541060e-04,2.0288176e+00,-3.3271475e-04,-3.1715592e-04,-3.3271475e-04,2.0290257e+00
1.0000000e+02,1.3894955e+01,2.3401009e+00,2.3400732e+00,-5.0548011e-04,-3.6323489e-04,-5.0548011e-04,2.3400042e+00,-3.7757672e-04,-3.6323489e-04,-3.7757672e-04,2.3402254e+00
1.0000000e+02,1.7166979e+01,2.6787137e+00,2.6786821e+00,-5.6901338e-04,-4.1264393e-04,-5.6901338e-04,2.6786126e+00,-4.2511139e-04,-4.1264393e-04,-4.2511139e-04,2.6788464e+00
1.0000000e+02,2.1209509e+01,3.0424817e+00,3.0424459e+00,-6.3531064e-04,-4.6490953e-04,-6.3531064e-04,3.0423768e+00,-4.7486164e-04,-4.6490953e-04,-4.7486164e-04,3.0426224e+00
1.0000000e+02,2.6203985e+01,3.4281830e+00,3.4281428e+00,-7.0356431e-04,-5.1944478e-04,-7.0356431e-04,3.4280747e+00,-5.2630468e-04,-5.1944478e-04,-5.2630468e-04,3.4283314e+00
1.0000000e+02,3.2374575e+01,3.8317468e+00,3.8317021e+00,-7.7288784e-04,-5.7556742e-04,-7.7288784e-04,3.8316356e+00,-5.7886441e-04,-5.7556742e-04,-5.7886441e-04,3.8319027e+00
1.0000000e+02,3.9998234e+01,4.2484424e+00,4.2483930e+00,-8.4234543e-04,-6.3252035e-04,-8.4234543e-04,4.2483286e+00,-6.3191992e-04,-6.3252035e-04,-6.3191992e-04,4.2486055e+00
1.0000000e+02,4.9417134e+01,4.6731370e+00,4.6730831e+00,-9.1098280e-04,-6.8949472e-04,-9.1098280e-04,4.6730210e+00,-6.8481300e-04,-6.8949472e-04,-6.8481300e-04,4.6733069e+00
1.0000000e+02,6.1054023e+01,5.1005998e+00,5.1005415e+00,-9.7786040e-04,-7.4565785e-04,-9.7786040e-04,5.1004819e+00,-7.3685976e-04,-7.4565785e-04,-7.3685976e-04,5.1007761e+00
