# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kave[W/mK],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK]
2.5000000e+02,2.7464741e+03,4.4291045e+00,4.4290478e+00,-7.4350105e-04,-5.9477977e-04,-7.4350105e-04,4.4290005e+00,-5.7158426e-04,-5.9477977e-04,-5.7158426e-04,4.4292653e+00
2.5000000e+02,3.3932218e+03,4.4583640e+00,4.4583072e+00,-7.4426412e-04,-5.9545616e-04,-7.4426412e-04,4.4582599e+00,-5.7220763e-04,-5.9545616e-04,-5.7220763e-04,4.4585248e+00
2.5000000e+02,4.1922674e+03,4.4832276e+00,4.4831708e+00,-7.4488337e-04,-5.9600513e-04,-7.4488337e-04,4.4831235e+00,-5.7271360e-04,-5.9600513e-04,-5.7271360e-04,4.4833885e+00
2.5000000e+02,5.1794747e+03,4.5041967e+00,4.5041398e+00,-7.4538564e-04,-5.9645045e-04,-7.4538564e-04,4.5040926e+00,-5.7312406e-04,-5.9645045e-04,-5.7312406e-04,4.5043576e+00
2.5000000e+02,6.3991523e+03,4.5217644e+00,4.5217075e+00,-7.4579288e-04,-5.9681154e-04,-7.4579288e-04,4.5216603e+00,-5.7345690e-04,-5.9681154e-04,-5.7345690e-04,4.5219254e+00
2.5000000e+02,7.9060432e+03,4.5363985e+00,4.5363416e+00,-7.4612295e-04,-5.9710423e-04,-7.4612295e-04,4.5362944e+00,-5.7372670e-04,-5.9710423e-04,-5.7372670e-04,4.5365596e+00
2.5000000e+02,9.7677811e+03,4.5485294e+00,4.5484724e+00,-7.4639041e-04,-5.9734142e-04,-7.4639041e-04,4.5484253e+00,-5.7394534e-04,-5.9734142e-04,-5.7394534e-04,4.5486905e+00
2.5000000e+02,1.2067926e+04,4.5585436e+00,4.5584866e+00,-7.4660709e-04,-5.9753358e-04,-7.4660709e-04,4.5584394e+00,-5.7412248e-04,-5.9753358e-04,-5.7412248e-04,4.5587047e+00
2.5000000e+02,1.4909717e+04,4.5667817e+00,4.5667247e+00,-7.4678260e-04,-5.9768924e-04,-7.4678260e-04,4.5666775e+00,-5.7426597e-04,-5.9768924e-04,-5.7426597e-04,4.5669428e+00
2.5000000e+02,1.8420700e+04,4.5735390e+00,4.5734820e+00,-7.4692474e-04,-5.9781530e-04,-7.4692474e-04,4.5734348e+00,-5.7438219e-04,-5.9781530e-04,-5.7438219e-04,4.5737001e+00
2.5000000e+02,2.2758459e+04,4.5790683e+00,4.5790113e+00,-7.4703985e-04,-5.9791739e-04,-7.4703985e-04,4.5789642e+00,-5.7447631e-04,-5.9791739e-04,-5.7447631e-04,4.5792295e+00
2.5000000e+02,2.8117687e+04,4.5835838e+00,4.5835268e+00,-7.4713305e-04,-5.9800006e-04,-7.4713305e-04,4.5834797e+00,-5.7455251e-04,-5.9800006e-04,-5.7455251e-04,4.5837450e+00
2.5000000e+02,3.4738921e+04,4.5872653e+00,4.5872083e+00,-7.4720852e-04,-5.9806699e-04,-7.4720852e-04,4.5871612e+00,-5.7461422e-04,-5.9806699e-04,-5.7461422e-04,4.5874265e+00
2.5000000e+02,4.2919343e+04,4.5902628e+00,4.5902058e+00,-7.4726961e-04,-5.9812118e-04,-7.4726961e-04,4.5901586e+00,-5.7466417e-04,-5.9812118e-04,-5.7466417e-04,4.5904240e+00
2.5000000e+02,5.3026113e+04,4.5927007e+00,4.5926437e+00,-7.4731907e-04,-5.9816505e-04,-7.4731907e-04,4.5925965e+00,-5.7470462e-04,-5.9816505e-04,-5.7470462e-04,4.5928619e+00
2.5000000e+02,6.5512856e+04,4.5946817e+00,4.5946246e+00,-7.4735911e-04,-5.9820057e-04,-7.4735911e-04,4.5945775e+00,-5.7473736e-04,-5.9820057e-04,-5.7473736e-04,4.5948428e+00
2.5000000e+02,8.0940012e+04,4.5962902e+00,4.5962331e+00,-7.4739152e-04,-5.9822932e-04,-7.4739152e-04,4.5961860e+00,-5.7476386e-04,-5.9822932e-04,-5.7476386e-04,4.5964513e+00
2.5000000e+02,1.0000000e+05,4.5975954e+00,4.5975384e+00,-7.4741776e-04,-5.9825259e-04,-7.4741776e-04,4.5974913e+00,-5.7478532e-04,-5.9825259e-04,-5.7478532e-04,4.5977566e+00
3.0000000e+02,3.1622777e+00,7.1304748e-01,7.1303608e-01,-1.7346198e-04,-1.2390268e-04,-1.7346198e-04,7.1299230e-01,-1.3131086e-04,-1.2390268e-04,-1.3131086e-04,7.1311406e-01
3.0000000e+02,3.9069399e+00,8.2138229e-01,8.2136916e-01,-1.9777538e-04,-1.4262996e-04,-1.9777538e-04,8.2132326e-01,-1.4971707e-04,-1.4262996e-04,-1.4971707e-04,8.2145444e-01
3.0000000e+02,4.8269574e+00,9.3882683e-01,9.3881180e-01,-2.2369073e-04,-1.6284341e-04,-2.2369073e-04,9.3876422e-01,-1.6932044e-04,-1.6284341e-04,-1.6932044e-04,9.3890447e-01
3.0000000e+02,5.9636233e+00,1.0644839e+00,1.0644668e+00,-2.5094130e-04,-1.8435470e-04,-2.5094130e-04,1.0644180e+00,-1.8992132e-04,-1.8435470e-04,-1.8992132e-04,1.0645669e+00
3.0000000e+02,7.3679546e+00,1.1971327e+00,1.1971134e+00,-2.7920162e-04,-2.0691705e-04,-2.7920162e-04,1.1970638e+00,-2.1128167e-04,-2.0691705e-04,-2.1128167e-04,1.1972210e+00
3.0000000e+02,9.1029818e+00,1.3352700e+00,1.3352483e+00,-3.0809747e-04,-2.3023268e-04,-3.0809747e-04,1.3351983e+00,-2.3313298e-04,-2.3023268e-04,-2.3313298e-04,1.3353633e+00
3.0000000e+02,1.1246578e+01,1.4771756e+00,1.4771515e+00,-3.3721895e-04,-2.5396376e-04,-3.3721895e-04,1.4771015e+00,-2.5518481e-04,-2.5396376e-04,-2.5518481e-04,1.4772739e+00
3.0000000e+02,1.3894955e+01,1.6210013e+00,1.6209747e+00,-3.6613658e-04,-2.7774629e-04,-3.6613658e-04,1.6209250e+00,-2.7713378e-04,-2.7774629e-04,-2.7713378e-04,1.6211042e+00
3.0000000e+02,1.7166979e+01,1.7648741e+00,1.7648450e+00,-3.9442012e-04,-3.0120663e-04,-3.9442012e-04,1.7647958e+00,-2.9867363e-04,-3.0120663e-04,-2.9867363e-04,1.7649814e+00
3.0000000e+02,2.1209509e+01,1.9070064e+00,1.9069750e+00,-4.2165964e-04,-3.2398015e-04,-4.2165964e-04,1.9069264e+00,-3.1950694e-04,-3.2398015e-04,-3.1950694e-04,1.9071179e+00
3.0000000e+02,2.6203985e+01,2.0458001e+00,2.0457664e+00,-4.4748703e-04,-3.4573080e-04,-4.4748703e-04,2.0457185e+00,-3.3935865e-04,-3.4573080e-04,-3.3935865e-04,2.0459154e+00
3.0000000e+02,3.2374575e+01,2.1799324e+00,2.1798967e+00,-4.7159597e-04,-3.6616983e-04,-4.7159597e-04,2.1798495e+00,-3.5799034e-04,-3.6616983e-04,-3.5799034e-04,2.1800512e+00
3.0000000e+02,3.9998234e+01,2.3084137e+00,2.3083760e+00,-4.9375709e-04,-3.8507111e-04,-4.9375709e-04,2.3083295e+00,-3.7521320e-04,-3.8507111e-04,-3.7521320e-04,2.3085356e+00
3.0000000e+02,4.9417134e+01,2.4306092e+00,2.4305698e+00,-5.1382643e-04,-4.0228093e-04,-5.1382643e-04,2.4305240e+00,-3.9089743e-04,-4.0228093e-04,-3.9089743e-04,2.4307339e+00
3.0000000e+02,6.1054023e+01,2.5462253e+00,2.5461843e+00,-5.3174577e-04,-4.1772060e-04,-5.3174577e-04,2.5461392e+00,-4.0497606e-04,-4.1772060e-04,-4.0497606e-04,2.5463523e+00
3.0000000e+02,7.5431201e+01,2.6552622e+00,2.6552199e+00,-5.4753536e-04,-4.3138212e-04,-5.4753536e-04,2.6551754e+00,-4.1744267e-04,-4.3138212e-04,-4.1744267e-04,2.6553914e+00
3.0000000e+02,9.3193958e+01,2.7579444e+00,2.7579009e+00,-5.6128088e-04,-4.4331803e-04,-5.6128088e-04,2.7578569e+00,-4.2834383e-04,-4.4331803e-04,-4.2834383e-04,2.7580753e+00
3.0000000e+02,1.1513954e+02,2.8546364e+00,2.8545920e+00,-5.7311719e-04,-4.5362785e-04,-5.7311719e-04,2.8545484e+00,-4.3776795e-04,-4.5362785e-04,-4.3776795e-04,2.8547689e+00
3.0000000e+02,1.4225293e+02,2.9457588e+00,2.9457136e+00,-5.8321144e-04,-4.6244331e-04,-5.8321144e-04,2.9456703e+00,-4.4583268e-04,-4.6244331e-04,-4.4583268e-04,2.9458925e+00
3.0000000e+02,1.7575106e+02,3.0317111e+00,3.0316652e+00,-5.9174761e-04,-4.6991450e-04,-5.9174761e-04,3.0316223e+00,-4.5267275e-04,-4.6991450e-04,-4.5267275e-04,3.0318459e+00
3.0000000e+02,2.1713743e+02,3.1128130e+00,3.1127665e+00,-5.9891373e-04,-4.7619811e-04,-5.9891373e-04,3.1127239e+00,-4.5842941e-04,-4.7619811e-04,-4.5842941e-04,3.1129486e+00
3.0000000e+02,2.6826958e+02,3.1892678e+00,3.1892209e+00,-6.0489234e-04,-4.8144847e-04,-6.0489234e-04,3.1891784e+00,-4.6324225e-04,-4.8144847e-04,-4.6324225e-04,3.1894042e+00
3.0000000e+02,3.3144247e+02,3.2611521e+00,3.2611047e+00,-6.0985399e-04,-4.8581125e-04,-6.0985399e-04,3.2610625e+00,-4.6724349e-04,-4.8581125e-04,-4.6724349e-04,3.2612890e+00
3.0000000e+02,4.0949151e+02,3.3284294e+00,3.3283817e+00,-6.1395347e-04,-4.8941969e-04,-6.1395347e-04,3.3283396e+00,-4.7055429e-04,-4.8941969e-04,-4.7055429e-04,3.3285668e+00
3.0000000e+02,5.0591975e+02,3.3909849e+00,3.3909369e+00,-6.1732811e-04,-4.9239265e-04,-6.1732811e-04,3.3908950e+00,-4.7328299e-04,-4.9239265e-04,-4.7328299e-04,3.3911228e+00
3.0000000e+02,6.2505519e+02,3.4486715e+00,3.4486233e+00,-6.2009758e-04,-4.9483417e-04,-6.2009758e-04,3.4485815e+00,-4.7552459e-04,-4.9483417e-04,-4.7552459e-04,3.4488097e+00
3.0000000e+02,7.7224499e+02,3.5013586e+00,3.5013102e+00,-6.2236464e-04,-4.9683392e-04,-6.2236464e-04,3.5012685e+00,-4.7736104e-04,-4.9683392e-04,-4.7736104e-04,3.5014971e+00
3.0000000e+02,9.5409548e+02,3.5489745e+00,3.5489260e+00,-6.2421657e-04,-4.9846826e-04,-6.2421657e-04,3.5488843e+00,-4.7886222e-04,-4.9846826e-04,-4.7886222e-04,3.5491132e+00
3.0000000e+02,1.1787686e+03,3.5915355e+00,3.5914869e+00,-6.2572681e-04,-4.9980156e-04,-6.2572681e-04,3.5914452e+00,-4.8008709e-04,-4.9980156e-04,-4.8008709e-04,3.5916744e+00
3.0000000e+02,1.4563485e+03,3.6291591e+00,3.6291104e+00,-6.2695668e-04,-5.0088767e-04,-6.2695668e-04,3.6290688e+00,-4.8108501e-04,-5.0088767e-04,-4.8108501e-04,3.6292981e+00
3.0000000e+02,1.7992936e+03,3.6620614e+00,3.6620126e+00,-6.2795708e-04,-5.0177135e-04,-6.2795708e-04,3.6619711e+00,-4.8189704e-04,-5.0177135e-04,-4.8189704e-04,3.6622006e+00
3.0000000e+02,2.2229965e+03,3.6905428e+00,3.6904939e+00,-6.2877007e-04,-5.0248964e-04,-6.2877007e-04,3.6904524e+00,-4.8255713e-04,-5.0248964e-04,-4.8255713e-04,3.6906820e+00
3.0000000e+02,2.7464741e+03,3.7149656e+00,3.7149167e+00,-6.2943026e-04,-5.0307303e-04,-6.2943026e-04,3.7148752e+00,-4.8309330e-04,-5.0307303e-04,-4.8309330e-04,3.7151049e+00
3.0000000e+02,3.3932218e+03,3.7357299e+00,3.7356809e+00,-6.2996604e-04,-5.0354653e-04,-6.2996604e-04,3.7356394e+00,-4.8352850e-04,-5.0354653e-04,-4.8352850e-04,3.7358692e+00
3.0000000e+02,4.1922674e+03,3.7532498e+00,3.7532008e+00,-6.3040063e-04,-5.0393065e-04,-6.3040063e-04,3.7531593e+00,-4.8388157e-04,-5.0393065e-04,-4.8388157e-04,3.7533892e+00
3.0000000e+02,5.1794747e+03,3.7679339e+00,3.7678849e+00,-6.3075300e-04,-5.0424213e-04,-6.3075300e-04,3.7678434e+00,-4.8416788e-04,-5.0424213e-04,-4.8416788e-04,3.7680734e+00
3.0000000e+02,6.3991523e+03,3.7801703e+00,3.7801213e+00,-6.3103861e-04,-5.0449462e-04,-6.3103861e-04,3.7800798e+00,-4.8439997e-04,-5.0449462e-04,-4.8439997e-04,3.7803098e+00
3.0000000e+02,7.9060432e+03,3.7903167e+00,3.7902677e+00,-6.3127005e-04,-5.0469922e-04,-6.3127005e-04,3.7902263e+00,-4.8458805e-04,-5.0469922e-04,-4.8458805e-04,3.7904563e+00
3.0000000e+02,9.7677811e+03,3.7986950e+00,3.7986459e+00,-6.3145755e-04,-5.0486499e-04,-6.3145755e-04,3.7986045e+00,-4.8474044e-04,-5.0486499e-04,-4.8474044e-04,3.7988345e+00
3.0000000e+02,1.2067926e+04,3.8055888e+00,3.8055397e+00,-6.3160942e-04,-5.0499927e-04,-6.3160942e-04,3.8054983e+00,-4.8486388e-04,-5.0499927e-04,-4.8486388e-04,3.8057283e+00
3.0000000e+02,1.4909717e+04,3.8112445e+00,3.8111954e+00,-6.3173243e-04,-5.0510803e-04,-6.3173243e-04,3.8111540e+00,-4.8496386e-04,-5.0510803e-04,-4.8496386e-04,3.8113841e+00
3.0000000e+02,1.8420700e+04,3.8158732e+00,3.8158241e+00,-6.3183203e-04,-5.0519610e-04,-6.3183203e-04,3.8157827e+00,-4.8504482e-04,-5.0519610e-04,-4.8504482e-04,3.8160128e+00
3.0000000e+02,2.2758459e+04,3.8196536e+00,3.8196045e+00,-6.3191269e-04,-5.0526742e-04,-6.3191269e-04,3.8195631e+00,-4.8511039e-04,-5.0526742e-04,-4.8511039e-04,3.8197932e+00
3.0000000e+02,2.8117687e+04,3.8227362e+00,3.8226871e+00,-6.3197799e-04,-5.0532516e-04,-6.3197799e-04,3.8226457e+00,-4.8516347e-04,-5.0532516e-04,-4.8516347e-04,3.8228758e+00
3.0000000e+02,3.4738921e+04,3.8252462e+00,3.8251971e+00,-6.3203086e-04,-5.0537191e-04,-6.3203086e-04,3.8251557e+00,-4.8520645e-04,-5.0537191e-04,-4.8520645e-04,3.8253858e+00
3.0000000e+02,4.2919343e+04,3.8272878e+00,3.8272387e+00,-6.3207366e-04,-5.0540976e-04,-6.3207366e-04,3.8271973e+00,-4.8524124e-04,-5.0540976e-04,-4.8524124e-04,3.8274274e+00
3.0000000e+02,5.3026113e+04,3.8289468e+00,3.8288977e+00,-6.3210831e-04,-5.0544040e-04,-6.3210831e-04,3.8288563e+00,-4.8526941e-04,-5.0544040e-04,-4.8526941e-04,3.8290864e+00
3.0000000e+02,6.5512856e+04,3.8302939e+00,3.8302448e+00,-6.3213636e-04,-5.0546520e-04,-6.3213636e-04,3.8302034e+00,-4.8529221e-04,-5.0546520e-04,-4.8529221e-04,3.8304336e+00
3.0000000e+02,8.0940012e+04,3.8313872e+00,3.8313381e+00,-6.3215907e-04,-5.0548528e-04,-6.3215907e-04,3.8312967e+00,-4.8531067e-04,-5.0548528e-04,-4.8531067e-04,3.8315268e+00
3.0000000e+02,1.0000000e+05,3.8322739e+00,3.8322248e+00,-6.3217745e-04,-5.0550153e-04,-6.3217745e-04,3.8321834e+00,-4.8532561e-04,-5.0550153e-04,-4.8532561e-04,3.8324136e+00
3.5000000e+02,3.1622777e+00,6.8253960e-01,6.8252859e-01,-1.6538706e-04,-1.1897665e-04,-1.6538706e-04,6.8248876e-01,-1.2524081e-04,-1.1897665e-04,-1.2524081e-04,6.8260146e-01
3.5000000e+02,3.9069399e+00,7.8165195e-01,7.8163931e-01,-1.8747593e-04,-1.3614820e-04,-1.8747593e-04,7.8159789e-01,-1.4195476e-04,-1.3614820e-04,-1.4195476e-04,7.8171864e-01
3.5000000e+02,4.8269574e+00,8.8803812e-01,8.8802371e-01,-2.1079059e-04,-1.5449264e-04,-2.1079059e-04,8.8798109e-01,-1.5958129e-04,-1.5449264e-04,-1.5958129e-04,8.8810956e-01
3.5000000e+02,5.9636233e+00,1.0007137e+00,1.0006973e+00,-2.3506209e-04,-1.7380879e-04,-2.3506209e-04,1.0006539e+00,-1.7792150e-04,-1.7380879e-04,-1.7792150e-04,1.0007897e+00
3.5000000e+02,7.3679546e+00,1.1184403e+00,1.1184220e+00,-2.5997630e-04,-1.9384900e-04,-2.5997630e-04,1.1183781e+00,-1.9674795e-04,-1.9384900e-04,-1.9674795e-04,1.1185209e+00
3.5000000e+02,9.1029818e+00,1.2397776e+00,1.2397572e+00,-2.8518449e-04,-2.1432791e-04,-2.8518449e-04,1.2397132e+00,-2.1581210e-04,-2.1432791e-04,-2.1581210e-04,1.2398625e+00
3.5000000e+02,1.1246578e+01,1.3631541e+00,1.3631315e+00,-3.1031661e-04,-2.3493393e-04,-3.1031661e-04,1.3630877e+00,-2.3485216e-04,-2.3493393e-04,-2.3485216e-04,1.3632432e+00
3.5000000e+02,1.3894955e+01,1.4869539e+00,1.4869291e+00,-3.3499725e-04,-2.5534322e-04,-3.3499725e-04,1.4868856e+00,-2.5360176e-04,-2.5534322e-04,-2.5360176e-04,1.4870470e+00
3.5000000e+02,1.7166979e+01,1.6096104e+00,1.6095835e+00,-3.5886357e-04,-2.7523557e-04,-3.5886357e-04,1.6095405e+00,-2.7179983e-04,-2.7523557e-04,-2.7179983e-04,1.6097072e+00
3.5000000e+02,2.1209509e+01,1.7296979e+00,1.7296690e+00,-3.8158433e-04,-2.9431142e-04,-3.8158433e-04,1.7296266e+00,-2.8920206e-04,-2.9431142e-04,-2.8920206e-04,1.7297982e+00
3.5000000e+02,2.6203985e+01,1.8460112e+00,1.8459804e+00,-4.0287787e-04,-3.1230860e-04,-4.0287787e-04,1.8459386e+00,-3.0559326e-04,-3.1230860e-04,-3.0559326e-04,1.8461145e+00
3.5000000e+02,3.2374575e+01,1.9576212e+00,1.9575887e+00,-4.2252670e-04,-3.2901654e-04,-4.2252670e-04,1.9575475e+00,-3.2079895e-04,-3.2901654e-04,-3.2079895e-04,1.9577274e+00
3.5000000e+02,3.9998234e+01,2.0639032e+00,2.0638691e+00,-4.4038649e-04,-3.4428603e-04,-4.4038649e-04,2.0638286e+00,-3.3469433e-04,-3.4428603e-04,-3.3469433e-04,2.0640119e+00
3.5000000e+02,4.9417134e+01,2.1645317e+00,2.1644963e+00,-4.5638809e-04,-3.5803307e-04,-4.5638809e-04,2.1644563e+00,-3.4720870e-04,-3.5803307e-04,-3.4720870e-04,2.1646427e+00
3.5000000e+02,6.1054023e+01,2.2594475e+00,2.2594108e+00,-4.7053275e-04,-3.7023642e-04,-4.7053275e-04,2.2593714e+00,-3.5832472e-04,-3.7023642e-04,-3.5832472e-04,2.2595604e+00
3.5000000e+02,7.5431201e+01,2.3488011e+00,2.3487634e+00,-4.8288181e-04,-3.8092985e-04,-4.8288181e-04,2.3487243e+00,-3.6807272e-04,-3.8092985e-04,-3.6807272e-04,2.3489156e+00
3.5000000e+02,9.3193958e+01,2.4328832e+00,2.4328446e+00,-4.9354296e-04,-3.9019085e-04,-4.9354296e-04,2.4328060e+00,-3.7652172e-04,-3.9019085e-04,-3.7652172e-04,2.4329991e+00
3.5000000e+02,1.1513954e+02,2.5120512e+00,2.5120118e+00,-5.0265557e-04,-3.9812796e-04,-5.0265557e-04,2.5119735e+00,-3.8376858e-04,-3.9812796e-04,-3.8376858e-04,2.5121683e+00
3.5000000e+02,1.4225293e+02,2.5866609e+00,2.5866208e+00,-5.1037673e-04,-4.0486834e-04,-5.1037673e-04,2.5865829e+00,-3.8992729e-04,-4.0486834e-04,-3.8992729e-04,2.5867790e+00
3.5000000e+02,1.7575106e+02,2.6570115e+00,2.6569709e+00,-5.1686956e-04,-4.1054718e-04,-5.1686956e-04,2.6569332e+00,-3.9511948e-04,-4.1054718e-04,-3.9511948e-04,2.6571304e+00
3.5000000e+02,2.1713743e+02,2.7233093e+00,2.7232682e+00,-5.2229419e-04,-4.1529924e-04,-5.2229419e-04,2.7232307e+00,-3.9946683e-04,-4.1529924e-04,-3.9946683e-04,2.7234288e+00
3.5000000e+02,2.6826958e+02,2.7856526e+00,2.7856113e+00,-5.2680151e-04,-4.1925288e-04,-5.2680151e-04,2.7855739e+00,-4.0308557e-04,-4.1925288e-04,-4.0308557e-04,2.7857728e+00
3.5000000e+02,3.3144247e+02,2.8440396e+00,2.8439979e+00,-5.3052938e-04,-4.2252634e-04,-5.3052938e-04,2.8439607e+00,-4.0608301e-04,-4.2252634e-04,-4.0608301e-04,2.8441601e+00
3.5000000e+02,4.0949151e+02,2.8983925e+00,2.8983506e+00,-5.3360068e-04,-4.2522566e-04,-5.3360068e-04,2.8983135e+00,-4.0855562e-04,-4.2522566e-04,-4.0855562e-04,2.8985135e+00
3.5000000e+02,5.0591975e+02,2.9485964e+00,2.9485542e+00,-5.3612295e-04,-4.2744406e-04,-5.3612295e-04,2.9485172e+00,-4.1058830e-04,-4.2744406e-04,-4.1058830e-04,2.9487177e+00
3.5000000e+02,6.2505519e+02,2.9945397e+00,2.9944974e+00,-5.3818884e-04,-4.2926214e-04,-5.3818884e-04,2.9944605e+00,-4.1225460e-04,-4.2926214e-04,-4.1225460e-04,2.9946613e+00
3.5000000e+02,7.7224499e+02,3.0361529e+00,3.0361104e+00,-5.3987724e-04,-4.3074872e-04,-5.3987724e-04,3.0360736e+00,-4.1361736e-04,-4.3074872e-04,-4.1361736e-04,3.0362746e+00
3.5000000e+02,9.5409548e+02,3.0734355e+00,3.0733930e+00,-5.4125465e-04,-4.3196197e-04,-5.4125465e-04,3.0733562e+00,-4.1472974e-04,-4.3196197e-04,-4.1472974e-04,3.0735574e+00
3.5000000e+02,1.1787686e+03,3.1064713e+00,3.1064286e+00,-5.4237669e-04,-4.3295061e-04,-5.4237669e-04,3.1063919e+00,-4.1563631e-04,-4.3295061e-04,-4.1563631e-04,3.1065933e+00
3.5000000e+02,1.4563485e+03,3.1354283e+00,3.1353856e+00,-5.4328963e-04,-4.3375521e-04,-5.4328963e-04,3.1353489e+00,-4.1637420e-04,-4.3375521e-04,-4.1637420e-04,3.1355505e+00
3.5000000e+02,1.7992936e+03,3.1605496e+00,3.1605068e+00,-5.4403169e-04,-4.3440936e-04,-5.4403169e-04,3.1604701e+00,-4.1697416e-04,-4.3440936e-04,-4.1697416e-04,3.1606718e+00
3.5000000e+02,2.2229965e+03,3.1821348e+00,3.1820920e+00,-5.4463439e-04,-4.3494074e-04,-5.4463439e-04,3.1820553e+00,-4.1746157e-04,-4.3494074e-04,-4.1746157e-04,3.1822571e+00
3.5000000e+02,2.7464741e+03,3.2005203e+00,3.2004775e+00,-5.4512357e-04,-4.3537210e-04,-5.4512357e-04,3.2004408e+00,-4.1785726e-04,-4.3537210e-04,-4.1785726e-04,3.2006427e+00
3.5000000e+02,3.3932218e+03,3.2160585e+00,3.2160156e+00,-5.4552041e-04,-4.3572207e-04,-5.4552041e-04,3.2159790e+00,-4.1817831e-04,-4.3572207e-04,-4.1817831e-04,3.2161809e+00
3.5000000e+02,4.1922674e+03,3.2291003e+00,3.2290574e+00,-5.4584221e-04,-4.3600588e-04,-5.4584221e-04,3.2290208e+00,-4.1843867e-04,-4.3600588e-04,-4.1843867e-04,3.2292228e+00
3.5000000e+02,5.1794747e+03,3.2399816e+00,3.2399387e+00,-5.4610305e-04,-4.3623596e-04,-5.4610305e-04,3.2399020e+00,-4.1864975e-04,-4.3623596e-04,-4.1864975e-04,3.2401041e+00
3.5000000e+02,6.3991523e+03,3.2490139e+00,3.2489709e+00,-5.4631443e-04,-4.3642242e-04,-5.4631443e-04,3.2489343e+00,-4.1882082e-04,-4.3642242e-04,-4.1882082e-04,3.2491364e+00
3.5000000e+02,7.9060432e+03,3.2564788e+00,3.2564359e+00,-5.4648570e-04,-4.3657350e-04,-5.4648570e-04,3.2563993e+00,-4.1895942e-04,-4.3657350e-04,-4.1895942e-04,3.2566014e+00
3.5000000e+02,9.7677811e+03,3.2626258e+00,3.2625828e+00,-5.4662442e-04,-4.3669588e-04,-5.4662442e-04,3.2625462e+00,-4.1907171e-04,-4.3669588e-04,-4.1907171e-04,3.2627483e+00
3.5000000e+02,1.2067926e+04,3.2676719e+00,3.2676289e+00,-5.4673678e-04,-4.3679500e-04,-5.4673678e-04,3.2675924e+00,-4.1916265e-04,-4.3679500e-04,-4.1916265e-04,3.2677945e+00
3.5000000e+02,1.4909717e+04,3.2718039e+00,3.2717609e+00,-5.4682777e-04,-4.3687528e-04,-5.4682777e-04,3.2717243e+00,-4.1923630e-04,-4.3687528e-04,-4.1923630e-04,3.2719264e+00
3.5000000e+02,1.8420700e+04,3.2751801e+00,3.2751371e+00,-5.4690145e-04,-4.3694028e-04,-5.4690145e-04,3.2751005e+00,-4.1929594e-04,-4.3694028e-04,-4.1929594e-04,3.2753027e+00
3.5000000e+02,2.2758459e+04,3.2779340e+00,3.2778909e+00,-5.4696110e-04,-4.3699291e-04,-5.4696110e-04,3.2778544e+00,-4.1934423e-04,-4.3699291e-04,-4.1934423e-04,3.2780566e+00
3.5000000e+02,2.8117687e+04,3.2801770e+00,3.2801340e+00,-5.4700940e-04,-4.3703552e-04,-5.4700940e-04,3.2800974e+00,-4.1938333e-04,-4.3703552e-04,-4.1938333e-04,3.2802996e+00
3.5000000e+02,3.4738921e+04,3.2820019e+00,3.2819589e+00,-5.4704850e-04,-4.3707002e-04,-5.4704850e-04,3.2819223e+00,-4.1941498e-04,-4.3707002e-04,-4.1941498e-04,3.2821245e+00
3.5000000e+02,4.2919343e+04,3.2834851e+00,3.2834421e+00,-5.4708016e-04,-4.3709795e-04,-5.4708016e-04,3.2834055e+00,-4.1944061e-04,-4.3709795e-04,-4.1944061e-04,3.2836077e+00
3.5000000e+02,5.3026113e+04,3.2846897e+00,3.2846467e+00,-5.4710578e-04,-4.3712056e-04,-5.4710578e-04,3.2846101e+00,-4.1946135e-04,-4.3712056e-04,-4.1946135e-04,3.2848123e+00
3.5000000e+02,6.5512856e+04,3.2856674e+00,3.2856244e+00,-5.4712653e-04,-4.3713886e-04,-5.4712653e-04,3.2855878e+00,-4.1947814e-04,-4.3713886e-04,-4.1947814e-04,3.2857900e+00
3.5000000e+02,8.0940012e+04,3.2864605e+00,3.2864175e+00,-5.4714332e-04,-4.3715367e-04,-5.4714332e-04,3.2863809e+00,-4.1949174e-04,-4.3715367e-04,-4.1949174e-04,3.2865831e+00
3.5000000e+02,1.0000000e+05,3.2871036e+00,3.2870606e+00,-5.4715691e-04,-4.3716567e-04,-5.4715691e-04,3.2870240e+00,-4.1950274e-04,-4.3716567e-04,-4.1950274e-04,3.2872262e+00
4.0000000e+02,3.1622777e+00,6.5402624e-01,6.5401561e-01,-1.5784496e-04,-1.1423330e-04,-1.5784496e-04,6.5397927e-01,-1.1954340e-04,-1.1423330e-04,-1.1954340e-04,6.5408384e-01
4.0000000e+02,3.9069399e+00,7.4516407e-01,7.4515191e-01,-1.7801834e-04,-1.3003455e-04,-1.7801834e-04,7.4511437e-01,-1.3479796e-04,-1.3003455e-04,-1.3479796e-04,7.4522592e-01
